path,type,lines,sha256_prefix,validation,review_depth,signals_to_check
.dockerignore,other,59,588f3ed74f6c132f,scanned,automated inspection,
.editorconfig,other,2,2fb17989631032b3,scanned,automated inspection,
.env.example,example,88,61129174119e12a7,scanned,automated inspection,
.github/CODEOWNERS,other,24,89e2cab419a129b5,scanned,automated inspection,
.github/dependabot.yml,yml,87,418741822a38828d,yaml parsed,automated inspection,
.github/workflows/cd.yml,yml,238,8d667d56f89a84de,yaml parsed,focused manual inspection,
.github/workflows/ci.yml,yml,208,dab73b78bc2b3ad7,yaml parsed,focused manual inspection,
.github/workflows/pr-checks.yml,yml,48,6073203662d1b2f4,yaml parsed,automated inspection,
.github/workflows/scheduled.yml,yml,62,ac492444c013d1c3,yaml parsed,automated inspection,
.github/workflows/sonarcloud.yml,yml,82,896a6fa2168b4c33,yaml parsed,automated inspection,
Directory.Build.props,props,17,5666e10514c54891,xml parsed,automated inspection,
Directory.Packages.props,props,115,b66255e0d7a5f5a6,xml parsed,automated inspection,
auction.sln,sln,1332,d96f778afeab498e,scanned,automated inspection,
deploy/azure/README.md,md,218,05c6ee24090972dc,scanned,automated inspection,
deploy/azure/bootstrap-key-vault.sh,sh,83,15b2e875f965f6e5,scanned,automated inspection,
deploy/azure/main.bicep,bicep,535,7ca5074a38b2ff3f,scanned,automated inspection,
deploy/azure/main.bicepparam.example,example,8,da250a489bcf6ecf,scanned,automated inspection,
deploy/azure/render-kubernetes.sh,sh,81,032ae6e13bd083f5,scanned,automated inspection,
deploy/config/appsettings.Production.template.json,json,70,b571337d403cc5e7,json parsed,automated inspection,configuration_secret_field
deploy/docker/Dockerfile.base,base,41,eb1c76460e8ffe81,scanned,automated inspection,
deploy/docker/docker-compose.yml,yml,541,513a40e374af3f3f,yaml parsed,focused manual inspection,
deploy/docker/scripts/init-databases.sh,sh,25,62d972d3e08e2999,scanned,automated inspection,
deploy/kubernetes/base/configmap.yaml,yaml,48,12f0aee58a8d0718,yaml parsed,automated inspection,
deploy/kubernetes/base/infrastructure/elasticsearch.yaml,yaml,83,7eef6592df7358b7,yaml parsed,automated inspection,
deploy/kubernetes/base/infrastructure/postgres.yaml,yaml,123,41d2b266cd6acc00,yaml parsed,automated inspection,
deploy/kubernetes/base/infrastructure/rabbitmq.yaml,yaml,102,0e67e873caee634f,yaml parsed,automated inspection,
deploy/kubernetes/base/infrastructure/redis.yaml,yaml,97,caf18d39ecd95bed,yaml parsed,automated inspection,
deploy/kubernetes/base/ingress.yaml,yaml,265,c8e3c72800fd3905,yaml parsed,focused manual inspection,
deploy/kubernetes/base/kustomization.yaml,yaml,37,664741fae1a00a8e,yaml parsed,focused manual inspection,
deploy/kubernetes/base/migrations.yaml,yaml,278,5ec4a7e72e6a5159,yaml parsed,automated inspection,
deploy/kubernetes/base/namespace.yaml,yaml,57,86b70d8e5c04a1e2,yaml parsed,automated inspection,
deploy/kubernetes/base/priority-classes.yaml,yaml,31,119c704b9f203877,yaml parsed,automated inspection,
deploy/kubernetes/base/rbac.yaml,yaml,45,e1323c8fcdac83cb,yaml parsed,automated inspection,
deploy/kubernetes/base/secrets.yaml,yaml,45,ceee91a2c708a6ec,yaml parsed,focused manual inspection,
deploy/kubernetes/base/services/analytics-api.yaml,yaml,135,886bfd7a86efc5c7,yaml parsed,automated inspection,
deploy/kubernetes/base/services/auction-api.yaml,yaml,147,eca6bc32c6550ca0,yaml parsed,automated inspection,
deploy/kubernetes/base/services/bidding-api.yaml,yaml,166,61d5fb6bf5ef42f3,yaml parsed,automated inspection,
deploy/kubernetes/base/services/catalog-api.yaml,yaml,119,e09e14b8e21f5ede,yaml parsed,automated inspection,
deploy/kubernetes/base/services/gateway-api.yaml,yaml,147,9be67d62703ddb4f,yaml parsed,automated inspection,
deploy/kubernetes/base/services/identity-api.yaml,yaml,140,c4e99aac5968abe0,yaml parsed,automated inspection,
deploy/kubernetes/base/services/job-api.yaml,yaml,142,3d0cd2caad3ec21b,yaml parsed,automated inspection,
deploy/kubernetes/base/services/notification-api.yaml,yaml,135,05fbacc34d552b3b,yaml parsed,automated inspection,
deploy/kubernetes/base/services/payment-api.yaml,yaml,135,ba294cc12e5d79fd,yaml parsed,automated inspection,
deploy/kubernetes/base/services/pdb.yaml,yaml,131,b27fc77f0be739cb,yaml parsed,automated inspection,
deploy/kubernetes/base/services/search-api.yaml,yaml,148,1e0de004206c6568,yaml parsed,automated inspection,
deploy/kubernetes/base/services/storage-api.yaml,yaml,137,d08ed63da4fad1cb,yaml parsed,automated inspection,
deploy/kubernetes/base/services/web.yaml,yaml,91,ca8cdb0d70cc234a,yaml parsed,automated inspection,
deploy/kubernetes/overlays/dev/kustomization.yaml,yaml,121,845269b69cdad50e,yaml parsed,focused manual inspection,
deploy/kubernetes/overlays/production/azure-egress.yaml,yaml,92,85c1f4a277c05a67,yaml parsed,automated inspection,
deploy/kubernetes/overlays/production/cluster-issuer.yaml,yaml,14,009bf6a915b8f1d8,yaml parsed,automated inspection,
deploy/kubernetes/overlays/production/external-secret-resources.yaml,yaml,140,38d44d2dfbdbfe5a,yaml parsed,automated inspection,
deploy/kubernetes/overlays/production/kustomization.yaml,yaml,178,e7b246f73a9ba8ec,yaml parsed,focused manual inspection,
deploy/kubernetes/overlays/staging/kustomization.yaml,yaml,144,c37a0ce20b2b349c,yaml parsed,focused manual inspection,
global.json,json,8,25ef33cde81da41f,json parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Auditing/AuditEntry.cs,cs,12,22f1a861f9ec3995,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Auditing/IAuditPublisher.cs,cs,40,1602722c1162f4e1,C# included in project-tree scan,automated inspection,enumerable_input;cancellation_token;external_call
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Error.cs,cs,18,593a5240a365f895,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/ErrorCodes.cs,cs,94,d3d5c0e248e95579,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/ICacheService.cs,cs,29,03f5ceddc6ba281d,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/IIdempotencyService.cs,cs,12,898415b7d7864f74,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/IOutboxPublisher.cs,cs,7,f3343dcfdd206888,C# included in project-tree scan,automated inspection,enumerable_input;cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/IRepository.cs,cs,31,045ace8974ed7296,C# included in project-tree scan,automated inspection,enumerable_input;cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/ISanitizationService.cs,cs,9,fd2969630d71ca40,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/IUnitOfWork.cs,cs,9,d517251b5ef94ef3,C# included in project-tree scan,automated inspection,ef_save;cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/IUserContext.cs,cs,21,1707b41ccc215c53,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/LocalizableError.cs,cs,15,daab51226a156d87,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Locking/IDistributedLock.cs,cs,15,e7c2169f3ce24bcd,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Messaging/IEventPublisher.cs,cs,7,2f63aea0a20eceff,C# included in project-tree scan,automated inspection,enumerable_input;cancellation_token;external_call
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/PaginatedResult.cs,cs,17,15befaf54d01a605,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Providers/ICorrelationIdProvider.cs,cs,7,562425bb2aedea1b,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Providers/IDateTimeProvider.cs,cs,15,ca6100205e481efe,C# included in project-tree scan,automated inspection,manual_time
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Result.cs,cs,162,200ebe55fec66017,C# included in project-tree scan,automated inspection,enumerable_input;suppressed_nullable;query_materialization
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Storage/FileStorageSettings.cs,cs,38,9c5d1f2914e4d68d,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/Storage/IFileStorageService.cs,cs,63,7615c72e568157a0,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Abstractions/ValidationError.cs,cs,18,1764074c9c563c3b,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Authorization/AuthClaimTypes.cs,cs,10,bd8e08c5e97d2cdf,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Authorization/Permission.cs,cs,174,0a9e89061463c94c,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Authorization/RolePermissions.cs,cs,94,bf7164b8a1e39956,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Application/Authorization/Roles.cs,cs,13,90d5764ebcdb0e0c,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Behaviors/LoggingBehavior.cs,cs,72,eb90767f6e0f7637,C# included in project-tree scan,focused manual inspection,broad_exception_catch;cancellation_token
src/BuildingBlocks/BuildingBlocks.Application/Behaviors/ValidationBehavior.cs,cs,73,ca0a5137ee556096,C# included in project-tree scan,focused manual inspection,parallel_work;enumerable_input;cancellation_token;query_materialization
src/BuildingBlocks/BuildingBlocks.Application/BuildingBlocks.Application.csproj,csproj,29,0dba7c7e0d6e98df,xml parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/CQRS/BackgroundJobResult.cs,cs,7,4bc5169a538db809,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/CQRS/Commands/ICommand.cs,cs,26,04637863b0a07bca,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/CQRS/Queries/IQuery.cs,cs,15,4de98cee5d372093,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Constants/AuditMetadataKeys.cs,cs,40,dd800686a0e09efd,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Constants/BackgroundJobStatuses.cs,cs,6,811e94c466f7af59,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Constants/PaginationDefaults.cs,cs,9,4c7374bf408021bd,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Extensions/CqrsExtensions.cs,cs,38,118da47cdc72804a,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Extensions/SanitizationExtensions.cs,cs,15,0efaef467eeda719,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Filtering/FilterBuilder.cs,cs,62,41cee6ff6c37729c,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Application/Filtering/FilterExtensions.cs,cs,24,9235f87f7aadfc07,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Application/Filtering/IFilter.cs,cs,6,29b81b39883c08e3,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Helpers/SlugHelper.cs,cs,46,7f8ce7e77945c177,C# included in project-tree scan,focused manual inspection,
src/BuildingBlocks/BuildingBlocks.Application/Implementations/CorrelationIdProvider.cs,cs,18,4e6b12ab255d3e11,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Implementations/HtmlSanitizationService.cs,cs,71,03c89e10d1275c06,C# included in project-tree scan,automated inspection,suppressed_nullable
src/BuildingBlocks/BuildingBlocks.Application/Implementations/SystemDateTimeProvider.cs,cs,10,7b72307af19c829c,C# included in project-tree scan,automated inspection,manual_time
src/BuildingBlocks/BuildingBlocks.Application/Localization/ILocalizationService.cs,cs,32,2a4c004e2ad6da5a,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Application/Localization/LocalizationKeys.cs,cs,402,7f31b31036ecbeef,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Paging/PageRequest.cs,cs,8,4b2bcc1fcdb5cf13,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Paging/QueryExtensions.cs,cs,102,f2ea0eaf04cbbac8,C# included in project-tree scan,focused manual inspection,
src/BuildingBlocks/BuildingBlocks.Application/Paging/QueryParameters.cs,cs,46,0b1c39363f20e974,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Paging/QueryParametersValidator.cs,cs,41,480fb915497d9e7a,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Paging/README.md,md,182,c5c46d096c0d6346,scanned,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Paging/SortDescriptor.cs,cs,7,c97dd5a2357314f9,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Resources/SharedResources.cs,cs,3,2ea956d2872bb70a,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Resources/SharedResources.ja-JP.resx,resx,59,c41775be4eae2e18,xml parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Resources/SharedResources.resx,resx,59,ae7ffade22c1fd50,xml parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Application/Validation/LocalizedValidationMessages.cs,cs,52,8114f58b151251ed,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Authorization/PermissionEnums.cs,cs,45,81443fdfd7accd84,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/BuildingBlocks.Domain.csproj,csproj,19,3bc55dab3ecbe1fc,xml parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Constants/CurrencyCodes.cs,cs,16,420263aed7ad03eb,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Constants/ValidationConstants.cs,cs,116,aa55da4b1cfbb070,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Entities/AggregateRoot.cs,cs,9,097cb023e8c429fa,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Entities/BaseEntity.cs,cs,98,dadc601c351bbbc1,C# included in project-tree scan,automated inspection,domain_events
src/BuildingBlocks/BuildingBlocks.Domain/Entities/Enumeration.cs,cs,54,180240477d88fe62,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Domain/Entities/IAuditableEntity.cs,cs,6,d0ea6aa724dd0206,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Entities/ValueObject.cs,cs,57,70ad77afd06890d5,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Domain/Events/IDomainEvent.cs,cs,15,d13630f30fe70fba,C# included in project-tree scan,automated inspection,manual_time;domain_events
src/BuildingBlocks/BuildingBlocks.Domain/Exceptions/DomainException.cs,cs,50,6bbbc1ca76e1700b,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Domain/Guards/Guard.cs,cs,93,e3fb399cfbc7c163,C# included in project-tree scan,automated inspection,manual_time
src/BuildingBlocks/BuildingBlocks.Domain/ValueObjects/DateRange.cs,cs,93,159a1a6aa29550da,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Domain/ValueObjects/Money.cs,cs,126,f0c9c739a2f0bd91,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Domain/ValueObjects/StronglyTypedId.cs,cs,49,d2ca4ad4842af574,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Auditing/AuditPublisher.cs,cs,201,eb9a71a4b40684c2,C# included in project-tree scan,focused manual inspection,enumerable_input;cancellation_token;manual_time;query_materialization;external_call
src/BuildingBlocks/BuildingBlocks.Infrastructure/Auditing/HttpAuditContext.cs,cs,52,b06f74cb8eaca9a2,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Authorization/IAuthorizationRepository.cs,cs,75,2ff6cdc500b4f2c4,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Infrastructure/BuildingBlocks.Infrastructure.csproj,csproj,52,aa085d3593fb8976,xml parsed,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Caching/CacheKeys.cs,cs,35,221b553fb08c5ee7,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Infrastructure/Caching/RedisCacheService.cs,cs,112,7f0a4542293038c5,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Infrastructure/Extensions/EfCoreQueryExtensions.cs,cs,63,c0eaad249270c92c,C# included in project-tree scan,automated inspection,async_ef_query;cancellation_token;query_materialization
src/BuildingBlocks/BuildingBlocks.Infrastructure/Extensions/InfrastructureServiceExtensions.cs,cs,31,6e082ae3024a52f6,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Idempotency/RedisIdempotencyService.cs,cs,54,5d28c4776fcab3b5,C# included in project-tree scan,automated inspection,cancellation_token
src/BuildingBlocks/BuildingBlocks.Infrastructure/Localization/AppLocalizationService.cs,cs,51,157e7543ebe40f72,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Infrastructure/Localization/CompositeLocalizationService.cs,cs,79,b1fe75899e7548de,C# included in project-tree scan,automated inspection,enumerable_input
src/BuildingBlocks/BuildingBlocks.Infrastructure/Locking/RedisLock.cs,cs,119,2117991db62ba71b,C# included in project-tree scan,automated inspection,broad_exception_catch;cancellation_token;manual_time
src/BuildingBlocks/BuildingBlocks.Infrastructure/Messaging/MassTransitEventPublisher.cs,cs,24,bb0acad8902de573,C# included in project-tree scan,automated inspection,enumerable_input;cancellation_token;external_call
src/BuildingBlocks/BuildingBlocks.Infrastructure/Outbox/OutboxProcessingMetrics.cs,cs,44,3974608d31a346fc,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Repository/BaseUnitOfWork.cs,cs,92,be97d8b04b840a39,C# included in project-tree scan,automated inspection,ef_save;cancellation_token;query_materialization
src/BuildingBlocks/BuildingBlocks.Infrastructure/Repository/Converters/DateTimeOffsetUtcConverter.cs,cs,23,0e695b62048e3070,C# included in project-tree scan,automated inspection,
src/BuildingBlocks/BuildingBlocks.Infrastructure/Repository/IUnitOfWork.cs,cs,1,b6b6c080fc3b5f4f,C# included in project-tree scan,automated inspection,
